name;lat;lon
24 Buchen Herrenberg (Stadt);48.600213; 8.9290388
Reustener Weg Entringen;48.5520226; 8.9500649
Nebringer Weg Haslach;48.5763559; 8.840267
Gockelersklingenweg Herrenberg (Stadt);48.6015358; 8.9587951
Hald & Grunewald Herrenberg (Stadt);48.6020778; 8.859591196485432
Gültlinger Weg Oberjesingen;48.6288528; 8.8018971
Tailfinger Straße Altingen;48.5539641; 8.8944841
Mittleres Häusle Herrenberg (Stadt);48.5987096; 8.9363188
Nebringer Steige Gültstein;48.5692408; 8.8725603
3 Martinslaile Kuppingen;48.6034584; 8.7993163
Jahnweg Herrenberg (Stadt);48.5987604; 8.8664171
Bodenseeautobahn Altingen;48.5603223; 8.8927939
südlich Bolzplatz Entringen;48.5674288; 8.963499
Drei-Eichen-Hütte Herrenberg (Stadt);48.6053662; 8.9315053
CDU Hütte Nebringen;48.5705596; 8.8316814
Stall Dietterle Sägmühle;48.567558000000005; 8.895011999999998
Hubweg Unterjettingen;48.5786873; 8.7940511
Jägerweg-Trail Gärtringen-Rohrau;48.6175731; 8.9238341
Hardtwaldeiche Reusten;48.5596812; 8.9336718
Bunter Mergel Herrenberg (Stadt);48.6056876; 8.8905885
Nissleswiesen Gärtringen-Rohrau;48.6339295; 8.9269428
Randweg Haslach;48.5912738; 8.8258993
Jägerweg Gärtringen-Rohrau;48.6188249; 8.9289105
Kayher Talsträßle Mönchberg;48.5898575; 8.9297378
Wechselweg Oberjesingen;48.6214802; 8.8010865
Sindlinger Steig Öschelbronn;48.5572913; 8.8173388
Gas-Druckregelanlage Altingen Altingen;48.55866695; 8.92459108097015
Teufelsbrunnen Herrenberg (Stadt);48.5982323; 8.9655462
Sindlinger Weg Kuppingen;48.6022917; 8.8240092
Nebringer Steige Nebringen;48.5673128; 8.8626464
Tübinger Straße Gültstein;48.5866833; 8.8847494
Gockelersklingenweg Herrenberg (Stadt);48.5986467; 8.9555434
Königsträßle Kuppingen;48.5921225; 8.8085156
Bebenhäuser Straße Herrenberg (Stadt);48.6007493; 8.9237889
Damwildfarm Egeler Nebringen;48.56103035; 8.86191859445547
Wildwiesenstraße Herrenberg (Stadt);48.6006153; 8.9446339
Öfelepass Unterjettingen;48.5770421; 8.8077616
Urschelrainstraße Mönchberg;48.590032; 8.9491045
Otto-Weik-Straße Herrenberg (Stadt);48.5987757; 8.9645177
Haslacher Straße Sindlingen;48.5683446; 8.8125538
Tübinger Straße Herrenberg (Stadt);48.5906455; 8.8792611
Bodenseeautobahn Sägmühle;48.5670381; 8.8977905
Hohleweg Kuppingen;48.5966637; 8.7974958
Friedrichsquelle Rohrau;48.6297859; 8.9269827
Vierstämmige Buche - Äußere Ebene Herrenberg (Stadt);48.6078879; 8.8896527
Nufringer Weg Tennental;48.6408965; 8.8464367
Gültlinger Weg Kuppingen;48.6173639; 8.8236456
Nebringer Steige Gültstein;48.5692408; 8.8725603
Damwildfarm Egeler Nebringen;48.56103035; 8.86191859445547
Nördlicher Traufweg Kuppingen;48.6003432; 8.8177077
Neurathstein Herrenberg (Stadt);48.600427; 8.931046
Rückleweg Kuppingen;48.6108905; 8.8080777
Bodenseeautobahn Gültstein;48.5792701; 8.8994663
Haarschwärze Kuppingen;48.620486400000004; 8.846291861810862
Geschichte der Gartenbauvereine Herrenberg Oberjesingen;48.6269349; 8.8190275
Niederholzweg Öschelbronn;48.549084; 8.8086404
Öfele Unterjettingen;48.5788466; 8.8012738
Hummelbergsträßle Kuppingen;48.6065528; 8.8123828
Brünnelesweg Unterjettingen;48.5742735; 8.8098449
Nebringer Steige Gültstein;48.5692408; 8.8725603
Nebringer Steige Nebringen;48.5673128; 8.8626464
Klosterwaldsträßle Kuppingen;48.5930084; 8.8020182
Gültlinger Weg Oberjesingen;48.6288528; 8.8018971
Sindlinger Weg Kuppingen;48.596424; 8.8176683
Altingen Süd II Altingen;48.5525429; 8.9128328
EvoBus GmbH BWH Stuttgart Gültstein;48.5768377; 8.8932621
Am Rötelberg Gärtringen-Rohrau;48.619012; 8.9356895
Kayher Talsträßle Mönchberg;48.5908892; 8.9437872
Distriktstein 09 Gültstein;48.5964299; 8.9035083
Kinderhaus Keltenstraße Kuppingen;48.6147889; 8.837963503564453
Fuhrweg Herrenberg (Stadt);48.6166212; 8.805422
Brenner Hof Kuppingen;48.60562315; 8.832245933335313
Sindlinger Straße Unterjettingen;48.5770298; 8.8253503
Hardtwaldeiche Reusten;48.5596812; 8.9336718
Der "Mönchberger Sortengarten" Mönchberg;48.5767253; 8.9140911
Naturpark Schönbuch Herrenberg (Stadt);48.603158; 8.8818404
Gipswerkstraße Kayh;48.5745636; 8.9146781
Sindlinger Steig Öschelbronn;48.5601323; 8.8162565
Horber Straße Herrenberg (Stadt);48.5784471; 8.8629745
Alter Stelleweg Herrenberg (Stadt);48.5954296; 8.9548094
Buchgrabenweg Haslach;48.5796174; 8.8421846
Gipswerkstraße Altingen;48.5682978; 8.9120139
Wurzachweg Oberjesingen;48.6230794; 8.8080473
Langklingenweg Herrenberg (Stadt);48.6042204; 8.9483285
Krebsbachstuben Rohrau;48.6215997; 8.9249399
Bodenseeautobahn Altingen;48.5603753; 8.892625
Hardtwaldeiche Reusten;48.5596812; 8.9336718
Haslacher Steig Öschelbronn;48.5601547; 8.8285834
Herrenberg Porschestraße Herrenberg (Stadt);48.6038138; 8.8710878
Forsthäldelesweg Oberjettingen;48.5905746; 8.7975783
Rohrauer Kopf Gärtringen-Rohrau;48.62528665; 8.93449978454759
Gültlinger Weg Oberjesingen;48.6288528; 8.8018971
Herrenberg Zwerchweg Herrenberg (Stadt);48.585006; 8.8676379
Oberer Katermannshaldeweg Breitenholz;48.5833518; 8.9659178
Kayher Straße Altingen;48.566637; 8.910735
Sindlinger Straße Nebringen;48.5662092; 8.8287658
Haslacher Steig Öschelbronn;48.5601547; 8.8285834
Schaltstelle Entringen Entringen;48.55357845; 8.960665599999999
Nufringer Weg Tennental;48.6408965; 8.8464367
Rohrbrunnen Breitenholz;48.587144; 8.96209
Grenzstein 016 Gültstein;48.589866; 8.915138
Wildberger Weg Nebringen;48.5688997; 8.8360031
Leinenbrunnen Kuppingen;48.6061693; 8.8525159
Tübinger Straße Gültstein;48.5847449; 8.8893466
Wengerthof Tailfingen;48.5584814; 8.866047641571384
Gipswerk Kayh Kayh;48.571716800000004; 8.914565624692418
Ehemaliger Trimm-Dich-Pfad Nebringen;48.570362; 8.8367837
Bebenhäuser Straße Herrenberg (Stadt);48.5973879; 8.9393645
Leimgrubenweg Haslach;48.5878103; 8.8152704
Peter Schanz Weg Gültstein;48.5885961; 8.9171949
Kuppinger Straße Klingelberg;48.6154929; 8.7949135
Obstbau - ohne Pflege geht's nicht Kayh;48.5791523; 8.9330126
Streuobsterlebnis Herrenberg Haslach;48.5835595; 8.8494578
Urschelrainstraße Herrenberg (Stadt);48.5952253; 8.9374889
Gültsteiner Planie Herrenberg (Stadt);48.5983333; 8.9096675
Bodenseeautobahn Gültstein;48.5872115; 8.8979293
Richtstattweg Kuppingen;48.6062063; 8.7995344
Neue Steige Breitenholz;48.583894; 8.9463279
Frau Fichteweg Unterjettingen;48.5846447; 8.8051988
Gültsteiner Straße Gültstein;48.5595814; 8.8799246
Friedensstraße Entringen;48.5612517; 8.9624697
Fischer-Hütte Gültstein;48.5885656; 8.9350448
Tafel 9: Blick auf die Achalm Öschelbronn;48.5613104; 8.8040465
Ludwig-Schmidt-Weg Herrenberg (Stadt);48.599618; 8.9133773
Panorama-Ansicht Schwäbische Alb Kuppingen;48.6019279; 8.8436991
Reustener Weg Altingen;48.5481414; 8.8978753
Burghaldenweg Herrenberg (Stadt);48.616841; 8.8099313
Schützenhaus Mönchberg Mönchberg;48.5838062; 8.9202654
Bühlerhof Unterjettingen;48.5673242; 8.819308923597982
Hörmannstein Kuppingen;48.604999; 8.8045098
Bodenseeautobahn Gültstein;48.5715223; 8.8993743
Oberer Steinbruchweg Oberjesingen;48.6207569; 8.8022307
Urschelrainstraße Herrenberg (Stadt);48.59756; 8.9171727
Frau Fichteweg Unterjettingen;48.5846447; 8.8051988
Hohlweg Breitenholz;48.5751156; 8.9497058
Sindlinger Weg Kuppingen;48.5929535; 8.8128099
Waldfriedhof Herrenberg (Stadt);48.601116950000005; 8.903134452667164
Hubweg Unterjettingen;48.5786873; 8.7940511
Öfele Unterjettingen;48.5788466; 8.8012738
Nufringer Weg Tennental;48.6408965; 8.8464367
Sommertalbrunnen Herrenberg (Stadt);48.5975939; 8.919681
